cluster_name,recipe_filename,job_id,app_start_iso,avg_job_duration_in_mins_sec,status,message
cluster-wf-syn-00-4778,_ETL_m_DM_INFOHUB_BIZLINK.json,application_1774840360_02000,2026-07-27T04:55:00.000Z,42m 57sec,SUCCESS,
cluster-wf-syn-01-2396,_ETL_m_DM_STG_LKP_MEMBER_CALLHUB.json,application_1774840360_02001,2026-07-27T05:19:00.000Z,30m 25sec,SUCCESS,
cluster-wf-syn-02-3374,_ETL_m_DWH_E_MAPLEGROVE_CALLHUB_MAPLEBEND_OAKRIVER.json,application_1774840360_02002,2026-07-27T06:34:00.000Z,76m 47sec,SUCCESS,
cluster-wf-syn-03-2288,_ETL_m_DWH_MAPLEGROVE_PARTYPROFILE_INSERT.json,application_1774840360_02003,2026-07-27T07:52:00.000Z,35m 36sec,,
cluster-wf-syn-04-2949,_ETL_m_GENERATE_ERROR_BRISKGROVE.json,application_1774840360_02004,2026-07-27T08:40:00.000Z,47m 24sec,SUCCESS,
cluster-wf-syn-05-3240,_ETL_m_ODS_MOD_MAPLETHORP_FLOWS.json,application_1774840360_02005,2026-07-27T09:49:00.000Z,76m 22sec,SUCCESS,
cluster-wf-syn-06-7282,_ETL_m_ODS_TSX61.json,application_1774840360_02006,2026-07-27T04:45:00.000Z,68m 16sec,SUCCESS,
cluster-wf-syn-07-3479,_ETL_m_RDM_TMP_DTX_ACTIVESET_RECAP.json,application_1774840360_02007,2026-07-27T05:19:00.000Z,38m 47sec,SUCCESS,
cluster-wf-syn-08-5826,_ETL_m_SYN_DM_ORDERS_SUMMARY.json,application_1774840360_02008,2026-07-27T06:25:00.000Z,29m 53sec,SUCCESS,
cluster-wf-syn-09-8355,_ETL_m_SYN_DWH_ORDERS_FACT.json,application_1774840360_02009,2026-07-27T07:01:00.000Z,12m 54sec,SUCCESS,
cluster-wf-syn-10-4297,_ETL_m_SYN_ETL_ORDERS_BRIDGE.json,application_1774840360_02010,2026-07-27T08:20:00.000Z,60m 55sec,,
cluster-wf-syn-11-5946,_ETL_m_SYN_ODS_CUSTOMERS.json,application_1774840360_02011,2026-07-27T09:37:00.000Z,18m 07sec,SUCCESS,
cluster-wf-syn-12-9718,_ETL_m_SYN_ODS_ORDERS.json,application_1774840360_02012,2026-07-27T04:47:00.000Z,22m 27sec,SUCCESS,
cluster-wf-syn-13-9910,_ETL_m_SYN_OUT_ORDERS_FEED.json,application_1774840360_02013,2026-07-27T05:26:00.000Z,2m 28sec,SUCCESS,
cluster-wf-syn-15-8672,_ETL_m_SYN_RDM_ORDERS_EXPORT.json,application_1774840360_02015,2026-07-27T07:59:00.000Z,17m 35sec,SUCCESS,
cluster-wf-syn-16-7929,_ETL_m_SYN_STG_L_CUSTOMERS_LOAD.json,application_1774840360_02016,2026-07-27T08:44:00.000Z,79m 15sec,SUCCESS,
cluster-wf-syn-17-2291,_ETL_m_SYN_STG_L_ORDERS_LOAD.json,application_1774840360_02017,2026-07-27T09:00:00.000Z,26m 55sec,,
cluster-wf-cas-01-4001,_ETL_m_CAS_STG_L_EVENTS_LOAD.json,application_1774840777_11001,2026-07-27T06:07:00.000Z,10m 20sec,SUCCESS,
cluster-wf-cas-02-4002,_ETL_m_CAS_STG_L_REFS_LOAD.json,application_1774840777_11002,2026-07-27T07:14:00.000Z,5m 57sec,SUCCESS,
cluster-wf-cas-03-4003,_ETL_m_CAS_ODS_EVENTS.json,application_1774840777_11003,2026-07-27T08:21:00.000Z,16m 34sec,SUCCESS,
cluster-wf-cas-04-4004,_ETL_m_CAS_ODS_EVENTS_ENRICH.json,application_1774840777_11004,2026-07-27T09:28:00.000Z,13m 11sec,SUCCESS,
cluster-wf-cas-05-4005,_ETL_m_CAS_DWH_EVENTS_FACT.json,application_1774840777_11005,2026-07-27T10:35:00.000Z,52m 48sec,SUCCESS,
cluster-wf-cas-06-4006,_ETL_m_CAS_ODS_REFS.json,application_1774840777_11006,2026-07-27T05:42:00.000Z,7m 55sec,SUCCESS,
cluster-wf-cas-07-4007,_ETL_m_CAS_ETL_EVENTS_SPLIT.json,application_1774840777_11007,2026-07-27T06:49:00.000Z,20m 42sec,SUCCESS,
cluster-wf-cas-08-4008,_ETL_m_CAS_CDM_EVENTS_MART.json,application_1774840777_11008,2026-07-27T07:56:00.000Z,34m 39sec,SUCCESS,
cluster-wf-cas-09-4009,_ETL_m_CAS_RDM_EVENTS_EXPORT.json,application_1774840777_11009,2026-07-27T08:03:00.000Z,9m 16sec,SUCCESS,
cluster-wf-cas-10-4010,_ETL_m_CAS_QDM_EVENTS_QUALITY.json,application_1774840777_11010,2026-07-27T09:10:00.000Z,4m 53sec,SUCCESS,
cluster-wf-cas-11-4011,_ETL_m_CAS_OUT_EVENTS_FEED.json,application_1774840777_11011,2026-07-27T10:17:00.000Z,6m 30sec,SUCCESS,
cluster-wf-cas-12-4012,_ETL_m_CAS_DWH_ORPHAN_METRICS.json,application_1774840777_11012,2026-07-27T05:24:00.000Z,2m 37sec,SUCCESS,
